threshold,total_genes,liver_genes,liver_percentage,high_conf_ntpm_high,high_conf_ntpm_low,high_conf_total,med_conf_ntpm_high,med_conf_ntpm_low,med_conf_total,low_conf_total,ntpm_high_count,ntpm_low_count,ntpm_balance_ratio,known_markers_total,known_markers_found,known_markers_coverage,known_markers_high_conf,known_markers_high_conf_rate
10,6523,1593,24.42127855281312,390,1,391,311,5,316,890,701,6,116.83333333333333,52,50,96.15384615384616,43,82.6923076923077
20,6523,1593,24.42127855281312,383,8,391,300,16,316,890,683,24,28.458333333333332,52,50,96.15384615384616,43,82.6923076923077
50,6523,1593,24.42127855281312,358,33,391,256,60,316,890,614,93,6.602150537634409,52,50,96.15384615384616,43,82.6923076923077
100,6523,1593,24.42127855281312,309,82,391,200,116,316,890,509,198,2.5707070707070705,52,50,96.15384615384616,43,82.6923076923077
150,6523,1593,24.42127855281312,274,117,391,151,165,316,890,425,282,1.5070921985815602,52,50,96.15384615384616,43,82.6923076923077
200,6523,1593,24.42127855281312,239,152,391,117,199,316,890,356,351,1.0142450142450143,52,50,96.15384615384616,43,82.6923076923077
300,6523,1593,24.42127855281312,193,198,391,92,224,316,890,285,422,0.6753554502369669,52,50,96.15384615384616,43,82.6923076923077
