Gene,liver_nTPM_value,Classification,RNA tissue specific nTPM,Tissue expression cluster
CES2,335.1,liver protein (all 3),intestine: 683.3;liver: 335.1,Cluster 37: Liver & Intestine - Lipid metabolism
EHHADH,334.1,liver protein (all 3),kidney: 139.2;liver: 334.1,Cluster 1: Liver & Kidney - Metabolism
MTHFD1,330.3,liver protein (all 3),liver: 330.3,Cluster 1: Liver & Kidney - Metabolism
C4A,328.2,liver protein (all 3),adrenal gland: 112.2;liver: 328.2,Cluster 83: Liver - Metabolism
PBLD,324.3,liver protein (nTPM + enrichment),intestine: 166.0;kidney: 260.0;liver: 324.3,Cluster 55: Kidney & Intestine - Metabolism
EPHX2,322.9,liver protein (all 3),liver: 322.9,Cluster 37: Liver & Intestine - Lipid metabolism
SLC38A3,321.4,liver protein (all 3),liver: 321.4;retina: 167.5,Cluster 83: Liver - Metabolism
DGAT2,321.2,liver protein (all 3),adipose tissue: 459.3;breast: 129.3;liver: 321.2;skin 1: 146.7,Cluster 11: Liver - Plasma proteins
HSD17B4,320.3,liver protein (all 3),liver: 320.3,Cluster 1: Liver & Kidney - Metabolism
EBP,318.4,liver protein (all 3),liver: 318.4,Cluster 83: Liver - Metabolism
NADK2,318.2,liver protein (all 3),liver: 318.2,Cluster 83: Liver - Metabolism
KLKB1,318.1,liver protein (all 3),liver: 318.1,Cluster 31: Liver - Plasma proteins
RBP5,316.3,liver protein (all 3),kidney: 431.4;liver: 316.3,Cluster 1: Liver & Kidney - Metabolism
DHRS3,315.8,liver protein_1,liver: 315.8,Cluster 68: Non-specific - Protein processing
HMGCL,314.7,liver protein (all 3),liver: 314.7,Cluster 1: Liver & Kidney - Metabolism
UGT1A1,314.0,liver protein (all 3),intestine: 195.3;liver: 314.0,Cluster 37: Liver & Intestine - Lipid metabolism
BDH1,313.1,liver protein (all 3),liver: 313.1,Cluster 83: Liver - Metabolism
CYP2D6,312.1,liver protein (nTPM + cluster),liver: 312.1,Cluster 31: Liver - Plasma proteins
GOT2,311.8,liver protein (nTPM + enrichment),choroid plexus: 211.8;heart muscle: 303.0;liver: 311.8;skeletal muscle: 673.7;tongue: 698.4,Cluster 23: Non-specific - Cellular respiration
MAOB,308.0,liver protein (all 3),liver: 308.0,Cluster 69: Liver - Oxidoreductase activity
APMAP,306.2,liver protein (all 3),liver: 306.2,Cluster 83: Liver - Metabolism
PXMP2,304.4,liver protein (all 3),liver: 304.4,Cluster 83: Liver - Metabolism
POR,303.8,liver protein (nTPM + cluster),liver: 303.8,Cluster 83: Liver - Metabolism
CLDN1,300.6,liver protein (nTPM + cluster),liver: 300.6;skin 1: 279.4,Cluster 37: Liver & Intestine - Lipid metabolism
FURIN,298.0,liver protein_1,liver: 298.0;salivary gland: 214.3,Cluster 68: Non-specific - Protein processing
FAH,293.4,liver protein (all 3),liver: 293.4,Cluster 1: Liver & Kidney - Metabolism
GNMT,287.5,liver protein (nTPM + enrichment),liver: 287.5;pancreas: 582.7,Cluster 68: Non-specific - Protein processing
HAAO,286.8,liver protein (all 3),liver: 286.8,Cluster 1: Liver & Kidney - Metabolism
NIPSNAP1,282.9,liver protein (all 3),liver: 282.9,Cluster 1: Liver & Kidney - Metabolism
UGT2B15,282.4,liver protein (all 3),gallbladder: 75.1;liver: 282.4,Cluster 83: Liver - Metabolism
SLC27A2,279.4,liver protein (all 3),kidney: 152.0;liver: 279.4,Cluster 1: Liver & Kidney - Metabolism
ALDH3A2,279.3,liver protein (all 3),liver: 279.3,Cluster 37: Liver & Intestine - Lipid metabolism
ISOC2,277.3,liver protein (nTPM + cluster),liver: 277.3,Cluster 83: Liver - Metabolism
LCAT,276.1,liver protein (all 3),liver: 276.1,Cluster 83: Liver - Metabolism
DMGDH,275.3,liver protein (all 3),kidney: 163.4;liver: 275.3,Cluster 1: Liver & Kidney - Metabolism
PROS1,274.9,liver protein (all 3),choroid plexus: 137.3;liver: 274.9,Cluster 83: Liver - Metabolism
CRYZ,274.1,liver protein (all 3),kidney: 319.0;liver: 274.1,Cluster 1: Liver & Kidney - Metabolism
SERPINA7,273.6,liver protein (all 3),liver: 273.6,Cluster 31: Liver - Plasma proteins
MBL2,272.6,liver protein (all 3),liver: 272.6,Cluster 31: Liver - Plasma proteins
MGAT4B,270.4,liver protein (nTPM + cluster),liver: 270.4,Cluster 37: Liver & Intestine - Lipid metabolism
FCN3,270.1,liver protein (all 3),liver: 270.1;lung: 702.7,Cluster 11: Liver - Plasma proteins
SUCLG2,269.6,liver protein (all 3),liver: 269.6,Cluster 37: Liver & Intestine - Lipid metabolism
CYP3A5,269.4,liver protein (all 3),intestine: 172.8;liver: 269.4,Cluster 37: Liver & Intestine - Lipid metabolism
GLYCTK,268.5,liver protein (all 3),liver: 268.5,Cluster 83: Liver - Metabolism
ACSM5,268.1,liver protein (all 3),liver: 268.1,Cluster 1: Liver & Kidney - Metabolism
ACY1,266.7,liver protein (nTPM + enrichment),intestine: 176.3;kidney: 434.0;liver: 266.7,Cluster 55: Kidney & Intestine - Metabolism
DECR1,265.6,liver protein (nTPM + enrichment),heart muscle: 280.7;liver: 265.6,Cluster 43: Non-specific - Mitochondrial translation
TFPI,263.9,liver protein (nTPM + cluster),liver: 263.9;placenta: 184.8,Cluster 11: Liver - Plasma proteins
SORD,262.8,liver protein (all 3),cervix: 164.8;liver: 262.8,Cluster 1: Liver & Kidney - Metabolism
FH,262.0,liver protein (nTPM + enrichment),liver: 262.0,Cluster 35: Non-specific - Mitochondria
PEMT,260.8,liver protein (nTPM + enrichment),epididymis: 162.2;liver: 260.8,Cluster 53: Non-specific - Glycosylation
PSAT1,259.7,liver protein_1,brain: 152.9;kidney: 131.8;liver: 259.7,Cluster 9: Oligodendrocytes - Myelination
MTTP,258.5,liver protein (nTPM + cluster),intestine: 267.5;liver: 258.5,Cluster 37: Liver & Intestine - Lipid metabolism
SLCO1B3,256.8,liver protein (all 3),liver: 256.8,Cluster 31: Liver - Plasma proteins
ENTPD5,255.6,liver protein (all 3),intestine: 103.8;kidney: 91.8;liver: 255.6,Cluster 37: Liver & Intestine - Lipid metabolism
GSTZ1,254.8,liver protein (all 3),liver: 254.8,Cluster 83: Liver - Metabolism
CIAO2A,254.3,liver protein (nTPM + enrichment),liver: 254.3,Cluster 35: Non-specific - Mitochondria
ETFA,253.9,liver protein (nTPM + enrichment),liver: 253.9;skeletal muscle: 248.8;tongue: 251.6,Cluster 35: Non-specific - Mitochondria
PGLYRP2,250.7,liver protein (all 3),liver: 250.7,Cluster 31: Liver - Plasma proteins
C11orf54,250.6,liver protein (nTPM + enrichment),kidney: 547.7;liver: 250.6,Cluster 52: Kidney - Transmembrane transport
MYO1B,247.8,liver protein (all 3),liver: 247.8,Cluster 83: Liver - Metabolism
MTHFS,247.1,liver protein (all 3),liver: 247.1,Cluster 83: Liver - Metabolism
CRYL1,246.3,liver protein (nTPM + enrichment),kidney: 317.6;liver: 246.3,Cluster 55: Kidney & Intestine - Metabolism
ALDH8A1,239.6,liver protein (all 3),kidney: 69.4;liver: 239.6,Cluster 1: Liver & Kidney - Metabolism
ACADS,239.5,liver protein (all 3),liver: 239.5;skeletal muscle: 152.6,Cluster 83: Liver - Metabolism
HNMT,238.2,liver protein (all 3),liver: 238.2,Cluster 1: Liver & Kidney - Metabolism
RCL1,238.1,liver protein (nTPM + cluster),liver: 238.1,Cluster 83: Liver - Metabolism
LIME1,237.0,liver protein (all 3),liver: 237.0,Cluster 83: Liver - Metabolism
SEC14L2,236.2,liver protein (all 3),epididymis: 83.9;liver: 236.2,Cluster 69: Liver - Oxidoreductase activity
F11,235.6,liver protein (all 3),liver: 235.6,Cluster 83: Liver - Metabolism
HSD17B11,234.5,liver protein (all 3),intestine: 280.6;liver: 234.5,Cluster 37: Liver & Intestine - Lipid metabolism
TSKU,230.2,liver protein (nTPM + cluster),liver: 230.2,Cluster 83: Liver - Metabolism
CYP4F3,230.0,liver protein (all 3),bone marrow: 79.4;liver: 230.0,Cluster 83: Liver - Metabolism
ORMDL3,228.8,liver protein (all 3),liver: 228.8,Cluster 83: Liver - Metabolism
MSRB1,228.5,liver protein (nTPM + cluster),liver: 228.5,Cluster 83: Liver - Metabolism
AIG1,228.2,liver protein (all 3),liver: 228.2,Cluster 69: Liver - Oxidoreductase activity
TTC38,227.9,liver protein (nTPM + cluster),liver: 227.9,Cluster 37: Liver & Intestine - Lipid metabolism
ETNK2,227.8,liver protein (all 3),kidney: 103.4;liver: 227.8;testis: 121.5,Cluster 1: Liver & Kidney - Metabolism
FETUB,227.3,liver protein (all 3),liver: 227.3,Cluster 83: Liver - Metabolism
UGT2B10,226.6,liver protein (all 3),liver: 226.6,Cluster 31: Liver - Plasma proteins
ACAT2,224.4,liver protein (all 3),liver: 224.4,Cluster 83: Liver - Metabolism
FUOM,222.7,liver protein (all 3),liver: 222.7,Cluster 83: Liver - Metabolism
SLCO2B1,222.4,liver protein (all 3),liver: 222.4,Cluster 11: Liver - Plasma proteins
SULT1A1,221.4,liver protein (all 3),liver: 221.4,Cluster 37: Liver & Intestine - Lipid metabolism
IL1RAP,218.9,liver protein (nTPM + cluster),liver: 218.9,Cluster 83: Liver - Metabolism
GBA3,218.9,liver protein (nTPM + enrichment),intestine: 166.7;kidney: 172.4;liver: 218.9,
MTARC2,216.4,liver protein (all 3),kidney: 127.2;liver: 216.4,Cluster 1: Liver & Kidney - Metabolism
VNN1,212.1,liver protein (nTPM + cluster),gallbladder: 86.2;intestine: 132.5;liver: 212.1,Cluster 37: Liver & Intestine - Lipid metabolism
CPN2,212.0,liver protein (all 3),liver: 212.0,Cluster 31: Liver - Plasma proteins
HGFAC,211.9,liver protein (nTPM + cluster),liver: 211.9,Cluster 31: Liver - Plasma proteins
HSD17B2,211.1,liver protein_1,intestine: 416.6;liver: 211.1;placenta: 368.9,Cluster 25: Small intestine - Absorption
UPB1,210.8,liver protein (all 3),liver: 210.8,Cluster 1: Liver & Kidney - Metabolism
CYP4A22,207.4,liver protein (all 3),liver: 207.4,Cluster 1: Liver & Kidney - Metabolism
GHR,206.8,liver protein (all 3),adipose tissue: 81.8;liver: 206.8,Cluster 83: Liver - Metabolism
ALAD,203.4,liver protein (nTPM + enrichment),liver: 203.4,Cluster 43: Non-specific - Mitochondrial translation
GLS2,198.8,liver protein (all 3),liver: 198.8,Cluster 83: Liver - Metabolism
PLIN5,197.2,liver protein_1,liver: 197.2;skeletal muscle: 143.9,Cluster 68: Non-specific - Protein processing
CYP51A1,196.0,liver protein (all 3),liver: 196.0,Cluster 69: Liver - Oxidoreductase activity
PCCB,195.7,liver protein (nTPM + enrichment),liver: 195.7,Cluster 35: Non-specific - Mitochondria
F13B,194.1,liver protein (all 3),liver: 194.1,Cluster 31: Liver - Plasma proteins
HAL,193.3,liver protein (nTPM + cluster),liver: 193.3;skin 1: 59.5,Cluster 83: Liver - Metabolism
MMUT,193.0,liver protein (all 3),liver: 193.0,Cluster 1: Liver & Kidney - Metabolism
SLC25A1,192.9,liver protein (all 3),liver: 192.9,Cluster 37: Liver & Intestine - Lipid metabolism
CYP2C18,191.1,liver protein (all 3),intestine: 99.8;liver: 191.1;stomach 1: 65.5,Cluster 37: Liver & Intestine - Lipid metabolism
QDPR,190.7,liver protein (nTPM + enrichment),brain: 707.1;liver: 190.7,Cluster 9: Oligodendrocytes - Myelination
UGT1A9,190.3,liver protein (nTPM + enrichment),kidney: 442.6;liver: 190.3,Cluster 52: Kidney - Transmembrane transport
CEBPA,190.1,liver protein (all 3),adipose tissue: 95.3;breast: 65.5;liver: 190.1;skin 1: 115.0,Cluster 83: Liver - Metabolism
GPRC5C,188.1,liver protein_1,liver: 188.1;stomach 1: 224.0,Cluster 68: Non-specific - Protein processing
CD302,188.0,liver protein (all 3),liver: 188.0,Cluster 83: Liver - Metabolism
GOLT1A,186.0,liver protein (nTPM + cluster),liver: 186.0,Cluster 83: Liver - Metabolism
EVA1A,185.1,liver protein (nTPM + cluster),liver: 185.1,Cluster 83: Liver - Metabolism
ETNPPL,185.1,liver protein_1,brain: 261.9;liver: 185.1,Cluster 33: Brain - Neuronal signaling
STEAP3,184.9,liver protein (all 3),liver: 184.9;parathyroid gland: 76.3,Cluster 83: Liver - Metabolism
CYP2C19,184.6,liver protein (all 3),liver: 184.6,Cluster 83: Liver - Metabolism
GGH,183.1,liver protein (all 3),kidney: 121.2;liver: 183.1,Cluster 1: Liver & Kidney - Metabolism
SIGMAR1,182.9,liver protein (nTPM + cluster),liver: 182.9,Cluster 83: Liver - Metabolism
SLC66A2,180.9,liver protein (nTPM + cluster),liver: 180.9,Cluster 83: Liver - Metabolism
PRG4,180.2,liver protein (all 3),adipose tissue: 90.2;liver: 180.2,Cluster 83: Liver - Metabolism
KHK,179.8,liver protein (nTPM + cluster),intestine: 122.9;kidney: 104.7;liver: 179.8,Cluster 37: Liver & Intestine - Lipid metabolism
DIO1,179.7,liver protein (all 3),kidney: 139.6;liver: 179.7;thyroid gland: 252.7,Cluster 1: Liver & Kidney - Metabolism
QPRT,179.0,liver protein (nTPM + enrichment),kidney: 115.0;liver: 179.0,Cluster 53: Non-specific - Glycosylation
SLC25A10,178.9,liver protein (all 3),liver: 178.9,Cluster 1: Liver & Kidney - Metabolism
MASP1,178.0,liver protein (nTPM + cluster),cervix: 116.0;heart muscle: 111.9;liver: 178.0,Cluster 83: Liver - Metabolism
SHMT2,177.8,liver protein (nTPM + cluster),liver: 177.8,Cluster 83: Liver - Metabolism
GPT,175.3,liver protein (all 3),liver: 175.3,Cluster 83: Liver - Metabolism
APOL1,174.5,liver protein (nTPM + cluster),liver: 174.5,Cluster 11: Liver - Plasma proteins
AMACR,173.8,liver protein (all 3),kidney: 128.8;liver: 173.8,Cluster 1: Liver & Kidney - Metabolism
ACSM3,172.5,liver protein (all 3),kidney: 82.0;liver: 172.5,Cluster 1: Liver & Kidney - Metabolism
ACOX2,171.9,liver protein (all 3),liver: 171.9,Cluster 1: Liver & Kidney - Metabolism
SLC7A2,171.5,liver protein_1,liver: 171.5;parathyroid gland: 216.8,Cluster 68: Non-specific - Protein processing
F5,171.0,liver protein (all 3),choroid plexus: 79.3;liver: 171.0;placenta: 45.4,Cluster 11: Liver - Plasma proteins
CBS,170.6,liver protein_1,brain: 52.0;liver: 170.6;pancreas: 131.6,Cluster 68: Non-specific - Protein processing
ECHDC2,170.1,liver protein (nTPM + cluster),liver: 170.1,Cluster 1: Liver & Kidney - Metabolism
PRODH2,169.4,liver protein (all 3),kidney: 136.4;liver: 169.4,Cluster 1: Liver & Kidney - Metabolism
GLDC,169.3,liver protein (nTPM + cluster),liver: 169.3,Cluster 1: Liver & Kidney - Metabolism
AFMID,169.0,liver protein (nTPM + cluster),liver: 169.0,Cluster 69: Liver - Oxidoreductase activity
GYS2,168.6,liver protein (all 3),liver: 168.6,Cluster 83: Liver - Metabolism
ALDH1B1,167.4,liver protein (all 3),liver: 167.4;smooth muscle: 123.2,Cluster 1: Liver & Kidney - Metabolism
SLC39A5,167.0,liver protein (nTPM + enrichment),intestine: 230.5;kidney: 105.8;liver: 167.0;pancreas: 297.9,Cluster 48: Stomach - Proteolysis
CMBL,166.8,liver protein (nTPM + enrichment),kidney: 162.1;liver: 166.8;skeletal muscle: 158.1,Cluster 55: Kidney & Intestine - Metabolism
PPP2R1B,166.5,liver protein (nTPM + cluster),liver: 166.5,Cluster 83: Liver - Metabolism
TTC36,166.0,liver protein (all 3),liver: 166.0,Cluster 83: Liver - Metabolism
LIPC,165.9,liver protein (all 3),liver: 165.9,Cluster 31: Liver - Plasma proteins
SDF2L1,165.7,liver protein_1,liver: 165.7,Cluster 68: Non-specific - Protein processing
GCGR,165.5,liver protein (nTPM + cluster),kidney: 48.6;liver: 165.5,Cluster 1: Liver & Kidney - Metabolism
ACSL5,165.4,liver protein (nTPM + cluster),epididymis: 218.8;intestine: 418.8;liver: 165.4,Cluster 37: Liver & Intestine - Lipid metabolism
PXDC1,164.6,liver protein (nTPM + cluster),liver: 164.6,Cluster 11: Liver - Plasma proteins
GRAMD4,164.1,liver protein (nTPM + cluster),liver: 164.1,Cluster 83: Liver - Metabolism
CFHR5,162.0,liver protein (all 3),liver: 162.0,Cluster 31: Liver - Plasma proteins
PCYT2,161.7,liver protein (nTPM + enrichment),liver: 161.7;testis: 254.4,Cluster 42: Testis - Spermatogenesis
CYP4F2,161.6,liver protein (all 3),intestine: 78.0;kidney: 39.4;liver: 161.6,Cluster 37: Liver & Intestine - Lipid metabolism
DECR2,161.0,liver protein (nTPM + cluster),liver: 161.0,Cluster 83: Liver - Metabolism
TTPA,160.0,liver protein (all 3),liver: 160.0,Cluster 83: Liver - Metabolism
INHBC,159.9,liver protein (all 3),liver: 159.9,Cluster 31: Liver - Plasma proteins
ECHDC3,157.6,liver protein (all 3),liver: 157.6;skeletal muscle: 123.8,Cluster 83: Liver - Metabolism
ACMSD,157.5,liver protein (all 3),kidney: 135.9;liver: 157.5,Cluster 1: Liver & Kidney - Metabolism
ALDH7A1,157.3,liver protein (all 3),liver: 157.3,Cluster 69: Liver - Oxidoreductase activity
DHCR7,157.1,liver protein (nTPM + cluster),liver: 157.1,Cluster 37: Liver & Intestine - Lipid metabolism
F7,156.3,liver protein (all 3),liver: 156.3,Cluster 31: Liver - Plasma proteins
F10,156.1,liver protein (all 3),liver: 156.1,Cluster 83: Liver - Metabolism
PECR,155.2,liver protein (all 3),liver: 155.2,Cluster 1: Liver & Kidney - Metabolism
ETFDH,154.4,liver protein (nTPM + enrichment),liver: 154.4;tongue: 167.6,Cluster 35: Non-specific - Mitochondria
AKR7A3,150.8,liver protein (nTPM + enrichment),intestine: 241.7;liver: 150.8;pancreas: 280.1;stomach 1: 218.3,Cluster 48: Stomach - Proteolysis
MAN1A1,150.0,liver protein (all 3),liver: 150.0,Cluster 11: Liver - Plasma proteins
A1CF,148.5,liver protein (all 3),liver: 148.5,Cluster 83: Liver - Metabolism
CD4,148.3,liver protein_1,liver: 148.3;lymphoid tissue: 213.7;parathyroid gland: 168.4,Cluster 70: Lymphoid tissue - Immune response
GCLC,147.6,liver protein (all 3),liver: 147.6,Cluster 83: Liver - Metabolism
ASPG,147.4,liver protein (nTPM + cluster),heart muscle: 99.0;liver: 147.4,Cluster 83: Liver - Metabolism
LPIN2,146.5,liver protein (nTPM + cluster),liver: 146.5,Cluster 83: Liver - Metabolism
ADK,146.5,liver protein (all 3),liver: 146.5,Cluster 1: Liver & Kidney - Metabolism
SLC25A13,145.5,liver protein (all 3),liver: 145.5,Cluster 1: Liver & Kidney - Metabolism
DAO,145.1,liver protein (all 3),brain: 48.0;kidney: 86.9;liver: 145.1,Cluster 1: Liver & Kidney - Metabolism
PC,144.3,liver protein (all 3),adipose tissue: 58.7;liver: 144.3,Cluster 69: Liver - Oxidoreductase activity
SLC25A20,143.9,liver protein (nTPM + cluster),liver: 143.9,Cluster 83: Liver - Metabolism
SLC43A3,143.2,liver protein (nTPM + cluster),liver: 143.2,Cluster 83: Liver - Metabolism
CYP2J2,141.8,liver protein (all 3),heart muscle: 86.5;intestine: 81.0;liver: 141.8,Cluster 83: Liver - Metabolism
PYGL,141.3,liver protein (all 3),liver: 141.3,Cluster 83: Liver - Metabolism
LSR,141.2,liver protein_1,liver: 141.2,Cluster 48: Stomach - Proteolysis
PPP1R3B,140.3,liver protein (nTPM + cluster),liver: 140.3;skeletal muscle: 91.8,Cluster 83: Liver - Metabolism
GPAM,139.8,liver protein (all 3),adipose tissue: 295.1;liver: 139.8,Cluster 11: Liver - Plasma proteins
COLEC11,139.6,liver protein (all 3),liver: 139.6,Cluster 83: Liver - Metabolism
UGT1A6,139.1,liver protein (nTPM + cluster),kidney: 68.7;liver: 139.1;urinary bladder: 85.8,Cluster 1: Liver & Kidney - Metabolism
C1RL,138.4,liver protein (all 3),liver: 138.4,Cluster 83: Liver - Metabolism
SLC37A4,136.5,liver protein (nTPM + cluster),liver: 136.5,Cluster 1: Liver & Kidney - Metabolism
UGDH,133.5,liver protein (nTPM + cluster),liver: 133.5,Cluster 37: Liver & Intestine - Lipid metabolism
ABHD2,133.5,liver protein_1,liver: 133.5,Cluster 68: Non-specific - Protein processing
SLC25A25,133.2,liver protein (nTPM + cluster),liver: 133.2,Cluster 83: Liver - Metabolism
GCKR,133.1,liver protein (nTPM + cluster),liver: 133.1,Cluster 31: Liver - Plasma proteins
HSD3B7,133.1,liver protein (nTPM + cluster),liver: 133.1,Cluster 83: Liver - Metabolism
LDHD,132.2,liver protein (nTPM + enrichment),heart muscle: 82.8;liver: 132.2,Cluster 23: Non-specific - Cellular respiration
MIA2,131.0,liver protein_1,liver: 131.0,Cluster 55: Kidney & Intestine - Metabolism
ACO1,130.5,liver protein (all 3),liver: 130.5,Cluster 1: Liver & Kidney - Metabolism
ASPDH,129.3,liver protein (all 3),brain: 40.4;kidney: 38.0;liver: 129.3,Cluster 69: Liver - Oxidoreductase activity
BBOX1,127.9,liver protein (nTPM + enrichment),kidney: 450.8;liver: 127.9,Cluster 52: Kidney - Transmembrane transport
CDHR5,126.6,liver protein (nTPM + cluster),intestine: 288.9;liver: 126.6,Cluster 37: Liver & Intestine - Lipid metabolism
LEPR,126.5,liver protein (nTPM + cluster),liver: 126.5,Cluster 83: Liver - Metabolism
STBD1,126.4,liver protein_1,liver: 126.4;skeletal muscle: 239.8;tongue: 148.6,Cluster 19: Non-specific - Basic cellular processes
TLCD4,126.0,liver protein (all 3),liver: 126.0,Cluster 83: Liver - Metabolism
ESPN,125.7,liver protein (nTPM + enrichment),liver: 125.7;retina: 114.4;testis: 140.9,Cluster 39: Retina & Testis - Cilium
SLC43A1,125.5,liver protein_1,liver: 125.5;pancreas: 225.9,Cluster 68: Non-specific - Protein processing
DHTKD1,125.5,liver protein (all 3),liver: 125.5,Cluster 1: Liver & Kidney - Metabolism
TMPRSS6,125.3,liver protein (all 3),liver: 125.3,Cluster 31: Liver - Plasma proteins
NAT2,124.6,liver protein (nTPM + cluster),intestine: 32.5;liver: 124.6,Cluster 83: Liver - Metabolism
MLIP,123.9,liver protein_1,heart muscle: 202.4;liver: 123.9;skeletal muscle: 237.9;tongue: 143.6,Cluster 23: Non-specific - Cellular respiration
GALK1,123.3,liver protein (all 3),liver: 123.3,Cluster 83: Liver - Metabolism
ABCD3,122.8,liver protein (nTPM + cluster),liver: 122.8,Cluster 37: Liver & Intestine - Lipid metabolism
RTKN,121.6,liver protein_1,brain: 113.9;liver: 121.6,Cluster 9: Oligodendrocytes - Myelination
ZGPAT,120.6,liver protein (all 3),liver: 120.6,Cluster 83: Liver - Metabolism
AGXT2,119.7,liver protein (all 3),kidney: 200.3;liver: 119.7,Cluster 1: Liver & Kidney - Metabolism
ABCB4,119.4,liver protein (nTPM + cluster),liver: 119.4,Cluster 83: Liver - Metabolism
CTH,119.2,liver protein (nTPM + cluster),liver: 119.2;ovary: 33.3,Cluster 83: Liver - Metabolism
AGMO,118.6,liver protein (all 3),liver: 118.6,Cluster 83: Liver - Metabolism
ABCC2,118.0,liver protein (nTPM + cluster),intestine: 39.1;liver: 118.0,Cluster 37: Liver & Intestine - Lipid metabolism
ACOX1,117.5,liver protein (all 3),liver: 117.5,Cluster 83: Liver - Metabolism
NR1H4,116.9,liver protein (nTPM + cluster),intestine: 38.1;liver: 116.9,Cluster 83: Liver - Metabolism
RTP3,115.0,liver protein (all 3),liver: 115.0,Cluster 31: Liver - Plasma proteins
HNF4A,114.2,liver protein (nTPM + cluster),intestine: 99.3;kidney: 44.1;liver: 114.2,Cluster 37: Liver & Intestine - Lipid metabolism
SHROOM1,114.0,liver protein (nTPM + cluster),liver: 114.0;prostate: 71.6;urinary bladder: 60.4,Cluster 69: Liver - Oxidoreductase activity
UROC1,113.9,liver protein (all 3),liver: 113.9,Cluster 31: Liver - Plasma proteins
IGFALS,113.8,liver protein (all 3),liver: 113.8,Cluster 83: Liver - Metabolism
MCCC2,113.6,liver protein (all 3),liver: 113.6,Cluster 1: Liver & Kidney - Metabolism
GGT1,113.1,liver protein_1,kidney: 173.5;liver: 113.1,Cluster 52: Kidney - Transmembrane transport
ABLIM3,112.9,liver protein_1,liver: 112.9,Cluster 23: Non-specific - Cellular respiration
TKFC,112.3,liver protein (all 3),intestine: 187.2;liver: 112.3,Cluster 37: Liver & Intestine - Lipid metabolism
FAHD2A,112.0,liver protein (all 3),liver: 112.0,Cluster 83: Liver - Metabolism
ERLIN1,110.6,liver protein (nTPM + cluster),liver: 110.6,Cluster 83: Liver - Metabolism
CYP4V2,110.0,liver protein (all 3),liver: 110.0,Cluster 1: Liver & Kidney - Metabolism
IQGAP2,109.8,liver protein_1,liver: 109.8,Cluster 78: Testis - Transcription
TMEM97,109.8,liver protein_1,liver: 109.8;pancreas: 311.6,Cluster 15: Pancreas - Proteolysis
SLC25A18,108.8,liver protein_1,brain: 129.5;liver: 108.8,Cluster 33: Brain - Neuronal signaling
ARMC6,107.9,liver protein (nTPM + cluster),liver: 107.9,Cluster 83: Liver - Metabolism
UGT2B17,107.8,liver protein_1,intestine: 368.4;liver: 107.8,Cluster 25: Small intestine - Absorption
OIT3,107.5,liver protein (nTPM + cluster),liver: 107.5,Cluster 31: Liver - Plasma proteins
PANK1,106.9,liver protein (all 3),kidney: 43.9;liver: 106.9,Cluster 1: Liver & Kidney - Metabolism
PROZ,106.6,liver protein (all 3),liver: 106.6,Cluster 1: Liver & Kidney - Metabolism
GGCX,104.6,liver protein (all 3),liver: 104.6,Cluster 83: Liver - Metabolism
COBLL1,104.4,liver protein (all 3),liver: 104.4,Cluster 1: Liver & Kidney - Metabolism
RAB17,104.2,liver protein_1,choroid plexus: 74.1;intestine: 74.4;liver: 104.2,Cluster 55: Kidney & Intestine - Metabolism
SLC31A1,104.2,liver protein (nTPM + enrichment),liver: 104.2,Cluster 68: Non-specific - Protein processing
CLYBL,103.5,liver protein (nTPM + enrichment),liver: 103.5,Cluster 35: Non-specific - Mitochondria
DHODH,103.2,liver protein (nTPM + cluster),liver: 103.2,Cluster 83: Liver - Metabolism
HMGCR,102.6,liver protein (nTPM + cluster),liver: 102.6,Cluster 37: Liver & Intestine - Lipid metabolism
SDSL,102.1,liver protein (nTPM + cluster),liver: 102.1,Cluster 1: Liver & Kidney - Metabolism
DERA,101.4,liver protein (all 3),liver: 101.4,Cluster 37: Liver & Intestine - Lipid metabolism
MMAB,101.1,liver protein (nTPM + enrichment),liver: 101.1,Cluster 43: Non-specific - Mitochondrial translation
SLC47A1,100.6,liver protein (all 3),adrenal gland: 123.4;kidney: 96.7;liver: 100.6,Cluster 1: Liver & Kidney - Metabolism
ACAD11,100.5,liver protein (nTPM + cluster),choroid plexus: 46.2;kidney: 62.1;liver: 100.5,Cluster 1: Liver & Kidney - Metabolism
TMEM220,100.5,liver protein (all 3),liver: 100.5,Cluster 83: Liver - Metabolism
AK4,99.2,liver protein (all 3),kidney: 174.9;liver: 99.2,Cluster 1: Liver & Kidney - Metabolism
ACOT12,97.6,liver protein (all 3),liver: 97.6,Cluster 31: Liver - Plasma proteins
UAP1,97.4,liver protein (nTPM + cluster),liver: 97.4,Cluster 83: Liver - Metabolism
GBP7,97.1,liver protein (all 3),liver: 97.1,Cluster 31: Liver - Plasma proteins
BTD,97.0,liver protein_1,liver: 97.0,Cluster 53: Non-specific - Glycosylation
SFXN1,96.6,liver protein (all 3),liver: 96.6,Cluster 83: Liver - Metabolism
FCN2,96.6,liver protein (nTPM + cluster),liver: 96.6,Cluster 83: Liver - Metabolism
CYP39A1,96.3,liver protein (all 3),liver: 96.3,Cluster 83: Liver - Metabolism
ALDH5A1,95.8,liver protein (nTPM + enrichment),liver: 95.8,Cluster 19: Non-specific - Basic cellular processes
