Gene,liver_nTPM_value,Classification,RNA tissue specific nTPM,Tissue expression cluster
PEBP1,2019.1,liver protein (nTPM + enrichment),liver: 2019.1,Cluster 26: Adrenal gland - Steroid metabolism
CFHR1,2010.5,liver protein (all 3),liver: 2010.5,Cluster 31: Liver - Plasma proteins
ADH1C,1997.6,liver protein (all 3),intestine: 581.0;liver: 1997.6;stomach 1: 555.8,Cluster 83: Liver - Metabolism
GSTA2,1994.3,liver protein (all 3),kidney: 670.5;liver: 1994.3,Cluster 1: Liver & Kidney - Metabolism
ASS1,1978.3,liver protein (nTPM + cluster),kidney: 1238.9;liver: 1978.3,Cluster 1: Liver & Kidney - Metabolism
RARRES2,1945.9,liver protein_1,adrenal gland: 2325.9;choroid plexus: 1575.8;liver: 1945.9,Cluster 68: Non-specific - Protein processing
SAA4,1879.5,liver protein (all 3),liver: 1879.5,Cluster 31: Liver - Plasma proteins
C4BPA,1860.6,liver protein (all 3),liver: 1860.6,Cluster 83: Liver - Metabolism
CP,1815.4,liver protein (all 3),liver: 1815.4,Cluster 31: Liver - Plasma proteins
P4HB,1810.7,liver protein_1,liver: 1810.7;pancreas: 2376.2,Cluster 68: Non-specific - Protein processing
ITIH4,1807.4,liver protein (all 3),liver: 1807.4,Cluster 31: Liver - Plasma proteins
DCXR,1806.9,liver protein (all 3),liver: 1806.9,Cluster 83: Liver - Metabolism
HSD17B6,1748.9,liver protein (all 3),liver: 1748.9,Cluster 83: Liver - Metabolism
TMBIM6,1748.2,liver protein (all 3),liver: 1748.2,Cluster 1: Liver & Kidney - Metabolism
MT1E,1743.2,liver protein (nTPM + cluster),liver: 1743.2,Cluster 69: Liver - Oxidoreductase activity
FN1,1674.5,liver protein (nTPM + cluster),liver: 1674.5;placenta: 2828.8,Cluster 11: Liver - Plasma proteins
CYP2C9,1667.6,liver protein (all 3),liver: 1667.6,Cluster 31: Liver - Plasma proteins
EPHX1,1652.5,liver protein (all 3),adrenal gland: 1141.8;liver: 1652.5,Cluster 83: Liver - Metabolism
